Experiment,Citation,depth_from_sfc_cm,Sample_date,Time_years,mean_ambient_CO2,mean_increased_CO2,n_ambient_CO2,n_increased_CO2,Description_of_data_source,Value_treatment
FACTS II - Aspen/Mapel,Talhelm et al. 2009,10,01.01.2004,7,3135,3270,3,3,pers. comm.,
FACTS II - Aspen/Mapel,Talhelm et al. 2009,10,01.01.2005,8,4206,3960,3,3,pers. comm.,
FACTS II - Aspen/Mapel,Talhelm et al. 2009,10,01.01.2006,9,4023,3850,3,3,pers. comm.,
FACTS II - Aspen/Mapel,Talhelm et al. 2009,10,01.01.2007,10,4014,4450,3,3,pers. comm.,
FACTS II - Aspen/Mapel,Talhelm et al. 2009,10,01.01.2008,11,3948,4675,3,3,pers. comm.,
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,10,01.01.2001,4,3449,3334,3,3,pers. comm.,
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,10,01.01.2003,6,3512,2961,3,3,pers. comm.,
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,10,01.01.2004,7,3321,3240,3,3,pers. comm.,
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,10,01.01.2005,8,3564,3376,3,3,pers. comm.,
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,10,01.01.2006,9,4115,3739,3,3,pers. comm.,
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,10,01.01.2007,10,3982,3737,3,3,pers. comm.,
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,10,01.01.2008,11,4093,3723,3,3,pers. comm.,
GiFACE,Lenhart 2008,7.5,01.05.1998,0,3420,3528,3,3,fig. 3.13,assumed bulk density: 1.0 g/cm3
GiFACE,Lenhart 2008,7.5,01.06.2007,9.08,3150,3096,3,3,fig. 3.13,assumed bulk density: 1.0 g/cm3
Hohenheim,Marhan et al. 2010,10,01.03.2004,2,1725,1767,5,5,tab. 2,
Hohenheim,Marhan et al. 2010,10,01.10.2004,2.5,1707,1641,5,5,tab. 2,
Hohenheim,Marhan et al. 2010,10,01.03.2005,3,1805,1744,5,5,tab. 2,
Hohenheim,Marhan et al. 2010,10,01.10.2005,3.5,1567,1588,5,5,tab. 2,
Hohenheim,Marhan et al. 2010,10,01.03.2006,4,1680,1717,5,5,tab. 2,
Hohenheim,Marhan et al. 2010,10,01.10.2006,4.5,1721,1763,5,5,tab. 2,
Jasper Ridge - sandstone,Hungate et al. 1997,15,01.01.1992,0,2646,2646,10,10,"fig. 1, pers. comm.",
Jasper Ridge - sandstone,Hungate et al. 1997,15,01.05.1993,1.41,2646,2354,10,10,"fig. 1, pers. comm.",
Jasper Ridge - sandstone,Hungate et al. 1997,15,01.05.1994,2.41,2252,2339,10,10,"fig. 1, pers. comm.",
Jasper Ridge - sandstone,Hungate et al. 1997,15,01.05.1995,3.41,2315,2315,10,10,"fig. 1, pers. comm.",
Jasper Ridge - sandstone,Hungate et al. 1997,15,01.05.1996,4.41,2497,2486,10,10,"fig. 1, pers. comm.",
Jasper Ridge - sandstone,Hungate et al. 1997,15,01.05.1997,5.41,2612,2750,10,10,"fig. 1, pers. comm.",
JRGCE - Control,Hungate et al. unpublished,15,01.01.2000,2,2384,2344,6,6,pers. comm.,
JRGCE - Control,Hungate et al. unpublished,15,01.01.2006,8,2428,2173,6,6,pers. comm.,
JRGCE - Burn,Hungate et al. unpublished,15,01.01.2000,2,2296,2497,4,4,pers. comm.,
JRGCE - Burn,Hungate et al. unpublished,15,01.01.2006,8,2544,2269,4,4,pers. comm.,
JRGCE - N,Hungate et al. unpublished,15,01.01.2000,2,2248,2381,6,6,pers. comm.,
JRGCE - N,Hungate et al. unpublished,15,01.01.2006,8,2552,2329,6,6,pers. comm.,
JRGCE - N x Burn,Hungate et al. unpublished,15,01.01.2000,2,2359,2425,4,4,pers. comm.,
JRGCE - N x Burn,Hungate et al. unpublished,15,01.01.2006,8,2529,2226,4,4,pers. comm.,
JRGCE - Water,Hungate et al. unpublished,15,01.01.2000,2,2292,2268,6,6,pers. comm.,
JRGCE - Water,Hungate et al. unpublished,15,01.01.2006,8,2311,2085,6,6,pers. comm.,
JRGCE - Water x Burn,Hungate et al. unpublished,15,01.01.2000,2,2394,2563,4,4,pers. comm.,
JRGCE - Water x Burn,Hungate et al. unpublished,15,01.01.2006,8,2396,2301,4,4,pers. comm.,
JRGCE - Water x N,Hungate et al. unpublished,15,01.01.2000,2,2193,2264,6,6,pers. comm.,
JRGCE - Water x N,Hungate et al. unpublished,15,01.01.2006,8,2626,2442,6,6,pers. comm.,
JRGCE - Water x N x Burn,Hungate et al. unpublished,15,01.01.2000,2,2251,2569,4,4,pers. comm.,
JRGCE - Water x N x Burn,Hungate et al. unpublished,15,01.01.2006,8,2232,2385,4,4,pers. comm.,
JRGCE - Heat,Hungate et al. unpublished,15,01.01.2000,2,2298,2295,6,6,pers. comm.,
JRGCE - Heat,Hungate et al. unpublished,15,01.01.2006,8,2385,2438,6,6,pers. comm.,
JRGCE - Heat x N,Hungate et al. unpublished,15,01.01.2000,2,2288,2454,6,6,pers. comm.,
JRGCE - Heat x N,Hungate et al. unpublished,15,01.01.2006,8,2283,2449,6,6,pers. comm.,
JRGCE - Heat x Water,Hungate et al. unpublished,15,01.01.2000,2,2327,2310,6,6,pers. comm.,
JRGCE - Heat x Water,Hungate et al. unpublished,15,01.01.2006,8,2074,2414,6,6,pers. comm.,
JRGCE - Heat x Water x N,Hungate et al. unpublished,15,01.01.2000,2,2393,2453,6,6,pers. comm.,
JRGCE - Heat x Water x N,Hungate et al. unpublished,15,01.01.2006,8,2110,2407,6,6,pers. comm.,
Merritt Island,Hungate unpublished,10,01.12.1996,0.62,1209,1335,8,8,pers. comm.,
Merritt Island,Hungate unpublished,10,01.06.1998,2.09,1131,1220,8,8,pers. comm.,
Merritt Island,Hungate unpublished,10,01.07.1998,2.17,1264,1292,8,8,pers. comm.,
Merritt Island,Hungate unpublished,10,01.08.1998,2.31,1356,1281,8,8,pers. comm.,
Merritt Island,Carney et al. 2007,10,01.11.1998,2.55,1734,1567,8,8,"fig. 1, pers. comm.",
Merritt Island,Carney et al. 2007,10,01.08.1999,3.36,1782,1712,8,8,"fig. 1, pers. comm.",
Merritt Island,Carney et al. 2007,10,01.03.2001,4.87,2191,1941,8,8,"fig. 1, pers. comm.",
Merritt Island,Carney et al. 2007,10,01.05.2002,6,2099,1741,8,8,"fig. 1, pers. comm.",
Merritt Island,Langley et al. 2009,10,01.05.2002,6,1999,1628,8,8,pers. comm.,
Merritt Island,McKinley et al. unpublished,10,01.05.2007,11,1512,1411,8,8,pers. comm.,
NewZealandFACE,Ross et al. 2004,5,01.05.1997,0,2685,2465,3,3,table 1,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2004,5,01.05.1998,1,2650,2490,3,3,table 1,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2004,5,01.05.1999,2,2655,2525,3,3,table 1,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2004,5,01.05.2000,3,2675,2565,3,3,table 1,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2004,5,01.05.2001,4,2515,2445,3,3,table 1,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2004,5,01.05.2002,5,2585,2490,3,3,table 1,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2013,5,01.05.2003,6,2519,2510,3,3,fig. 3,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2013,5,01.05.2004,7,2599,2534,3,3,fig. 3,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2013,5,01.05.2005,8,2659,2659,3,3,fig. 3,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2013,5,01.05.2006,9,2657,2722,3,3,fig. 3,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2013,5,01.05.2007,10,2722,2822,3,3,fig. 3,assumed bulk density: 1.0 g/cm3
New Zealand Greenhouse,Ross et al. 1995,5,,0,2112.2,2122.4,1,1,fig. 2,assumed bulk density: 1.0 g/cm3
New Zealand Greenhouse,Ross et al. 1995,5,,0.25,2122.4,2142.9,1,1,fig. 2,assumed bulk density: 1.0 g/cm3
New Zealand Greenhouse,Ross et al. 1995,5,,0.5,1969.4,1979.6,1,1,fig. 2,assumed bulk density: 1.0 g/cm3
New Zealand Greenhouse,Ross et al. 1995,5,,0.75,1969.4,2000,1,1,fig. 2,assumed bulk density: 1.0 g/cm3
New Zealand OTC - P. radiata,Ross et al. 2006,10,01.04.1994,0,100,100,2,2,fig. 2,assumed bulk density: 1.0 g/cm3
New Zealand OTC - P. radiata,Ross et al. 2006,10,01.03.2000,6,412,530,2,2,fig. 2,assumed bulk density: 1.0 g/cm3
New Zealand OTC - N. fusca,Ross et al. 2006,10,01.04.1994,0,100,100,3,3,fig. 2,assumed bulk density: 1.0 g/cm3
New Zealand OTC - N. fusca,Ross et al. 2006,10,01.03.2000,6,2403,3402,3,3,fig. 2,assumed bulk density: 1.0 g/cm3
ORNL FACE,Jastrow et al. 2005,15,01.10.1997,0,2672,2791,3,2,fig. 1b,
ORNL FACE,Jastrow et al. 2005,15,01.11.2000,2.42,2785,2866,3,2,fig. 1b,
ORNL FACE,Jastrow et al. 2005,15,01.10.2002,4.33,2730,2991,3,2,fig. 1b,
ORNL FACE,Iversen et al. 2012,15,01.06.2009,11,3370,3850,3,2,tab. 1,
Placerville - low N,Johnson et al. 2006,30,01.03.1991,0,8400,8000,3,3,fig. 4,
Placerville - low N,Johnson et al. 2006,30,01.03.1993,1.75,7600,7600,3,3,fig. 4,
Placerville - low N,Johnson et al. 2006,30,01.09.1996,5.5,7400,7600,3,3,fig. 4,
Placerville - medium N,Johnson et al. 2006,30,01.03.1991,0,7800,7900,3,3,fig. 4,
Placerville - medium N,Johnson et al. 2006,30,01.03.1993,1.75,7700,7800,3,3,fig. 4,
Placerville - medium N,Johnson et al. 2006,30,01.09.1996,5.5,7400,8300,3,3,fig. 4,
Placerville - high N,Johnson et al. 2006,30,01.03.1991,0,8100,7500,3,3,fig. 4,
Placerville - high N,Johnson et al. 2006,30,01.03.1993,1.75,7500,8500,3,3,fig. 4,
Placerville - high N,Johnson et al. 2006,30,01.09.1996,5.5,7400,8100,3,3,fig. 4,
POPFACE - alba,Hoosbeek et al. 2009,10,01.10.1999,0,1320,1128,3,3,"fig. 5, pers. comm.",
POPFACE - alba,Hoosbeek et al. 2009,10,01.10.2000,1,1365,1195,3,3,"fig. 5, pers. comm.",
POPFACE - alba,Hoosbeek et al. 2009,10,01.10.2001,2,1524,1295,3,3,"fig. 5, pers. comm.",
POPFACE - alba,Hoosbeek et al. 2009,10,01.10.2003,4,1629,1377,3,3,"fig. 5, pers. comm.",
POPFACE - alba,Hoosbeek et al. 2009,10,01.10.2004,5,1647,1480,3,3,"fig. 5, pers. comm.",
POPFACE - euramericana,Hoosbeek et al. 2009,10,01.10.1999,0,1252,1165,3,3,"fig. 5, pers. comm.",
POPFACE - euramericana,Hoosbeek et al. 2009,10,01.10.2000,1,1429,1213,3,3,"fig. 5, pers. comm.",
POPFACE - euramericana,Hoosbeek et al. 2009,10,01.10.2001,2,1405,1084,3,3,"fig. 5, pers. comm.",
POPFACE - euramericana,Hoosbeek et al. 2009,10,01.10.2003,4,1635,1431,3,3,"fig. 5, pers. comm.",
POPFACE - euramericana,Hoosbeek et al. 2009,10,01.10.2004,5,1686,1370,3,3,"fig. 5, pers. comm.",
POPFACE - nigra,Hoosbeek et al. 2009,10,01.10.1999,0,1379,1149,3,3,"fig. 5, pers. comm.",
POPFACE - nigra,Hoosbeek et al. 2009,10,01.10.2000,1,1458,1169,3,3,"fig. 5, pers. comm.",
POPFACE - nigra,Hoosbeek et al. 2009,10,01.10.2001,2,1534,1112,3,3,"fig. 5, pers. comm.",
POPFACE - nigra,Hoosbeek et al. 2009,10,01.10.2003,4,1518,1246,3,3,"fig. 5, pers. comm.",
POPFACE - nigra,Hoosbeek et al. 2009,10,01.10.2004,5,1509,1344,3,3,"fig. 5, pers. comm.",
Shortgrass prairie,Pendall et al. 2004,5,01.11.1995,0,617,645,3,3,appendix,
Shortgrass prairie,Pendall et al. 2004,5,01.10.1997,1,527,542,3,3,appendix,
Shortgrass prairie,Pendall et al. 2004,5,01.10.1998,2,488,522,3,3,appendix,
Shortgrass prairie,Pendall et al. 2004,5,01.10.1999,3,618,616,3,3,appendix,
Shortgrass prairie,Pendall et al. 2004,5,01.10.2000,4,603,593,3,3,appendix,
SoyFACE,Moran and Jastrow 2010,12.5,01.03.2001,0,4803,4142,3,3,pers. comm.,assumed bulk density: 1.24 g/cm3. 1  ring removed from dataset
SoyFACE,Moran and Jastrow 2010,12.5,01.03.2006,5,4671,4100,3,3,pers. comm.,assumed bulk density: 1.23 g/cm3. 1 ring removed from dataset
SoyFACE,Moran and Jastrow 2010,12.5,01.03.2007,6,4437,3836,3,3,pers. comm.,assumed bulk density: 1.19 g/cm3. 1 ring removed from dataset
SwissFACE- grass - low N,Van Kessel et al. 2006,10,01.05.1995,2,2878,2862,3,3,pers. comm.,
SwissFACE- grass - low N,Van Kessel et al. 2006,10,01.05.1996,3,2796,3584,3,3,pers. comm.,
SwissFACE- grass - low N,Van Kessel et al. 2006,10,01.05.1997,4,2855,2790,3,3,pers. comm.,
SwissFACE- grass - low N,Van Kessel et al. 2006,10,01.05.1998,5,3305,3368,3,3,pers. comm.,
SwissFACE- grass - low N,Van Kessel et al. 2006,10,01.05.1999,6,2970,2946,3,3,pers. comm.,
SwissFACE- grass - low N,Van Kessel et al. 2006,10,01.05.2000,7,2606,2759,3,3,pers. comm.,
SwissFACE- grass - low N,Van Kessel et al. 2006,10,01.05.2001,8,3733,3834,3,3,pers. comm.,
SwissFACE- grass - low N,Van Kessel et al. 2006,10,01.05.2002,9,3350,3498,3,3,pers. comm.,
SwissFACE- grass - low N,Van Kessel et al. 2006,10,01.05.2003,10,3293,3198,3,3,pers. comm.,
SwissFACE- grass - high N,Van Kessel et al. 2006,10,01.05.1995,2,3528,3223,3,3,pers. comm.,
SwissFACE- grass - high N,Van Kessel et al. 2006,10,01.05.1996,3,3052,3892,3,3,pers. comm.,
SwissFACE- grass - high N,Van Kessel et al. 2006,10,01.05.1997,4,3075,3091,3,3,pers. comm.,
SwissFACE- grass - high N,Van Kessel et al. 2006,10,01.05.1998,5,3494,3606,3,3,pers. comm.,
SwissFACE- grass - high N,Van Kessel et al. 2006,10,01.05.1999,6,2986,3045,3,3,pers. comm.,
SwissFACE- grass - high N,Van Kessel et al. 2006,10,01.05.2000,7,2920,2588,3,3,pers. comm.,
SwissFACE- grass - high N,Van Kessel et al. 2006,10,01.05.2001,8,3434,3114,3,3,pers. comm.,
SwissFACE- grass - high N,Van Kessel et al. 2006,10,01.05.2002,9,3302,3439,3,3,pers. comm.,
SwissFACE- grass - high N,Van Kessel et al. 2006,10,01.05.2003,10,3258,3332,3,3,pers. comm.,
SwissFACE- clover - low N,Van Kessel et al. 2006,10,01.05.1995,2,2822,2872,3,3,pers. comm.,
SwissFACE- clover - low N,Van Kessel et al. 2006,10,01.05.1996,3,3048,3500,3,3,pers. comm.,
SwissFACE- clover - low N,Van Kessel et al. 2006,10,01.05.1997,4,2862,2931,3,3,pers. comm.,
SwissFACE- clover - low N,Van Kessel et al. 2006,10,01.05.1998,5,3034,3291,3,3,pers. comm.,
SwissFACE- clover - low N,Van Kessel et al. 2006,10,01.05.1999,6,2758,2911,3,3,pers. comm.,
SwissFACE- clover - low N,Van Kessel et al. 2006,10,01.05.2000,7,2544,2987,3,3,pers. comm.,
SwissFACE- clover - low N,Van Kessel et al. 2006,10,01.05.2001,8,3443,3145,3,3,pers. comm.,
SwissFACE- clover - low N,Van Kessel et al. 2006,10,01.05.2002,9,3053,3591,3,3,pers. comm.,
SwissFACE- clover - low N,Van Kessel et al. 2006,10,01.05.2003,10,2999,3076,3,3,pers. comm.,
SwissFACE- clover - high N,Van Kessel et al. 2006,10,01.05.1995,2,2916,3496,3,3,pers. comm.,
SwissFACE- clover - high N,Van Kessel et al. 2006,10,01.05.1996,3,3256,3688,3,3,pers. comm.,
SwissFACE- clover - high N,Van Kessel et al. 2006,10,01.05.1997,4,2725,2996,3,3,pers. comm.,
SwissFACE- clover - high N,Van Kessel et al. 2006,10,01.05.1998,5,3233,3406,3,3,pers. comm.,
SwissFACE- clover - high N,Van Kessel et al. 2006,10,01.05.1999,6,2759,3153,3,3,pers. comm.,
SwissFACE- clover - high N,Van Kessel et al. 2006,10,01.05.2000,7,2630,2434,3,3,pers. comm.,
SwissFACE- clover - high N,Van Kessel et al. 2006,10,01.05.2001,8,3528,3572,3,3,pers. comm.,
SwissFACE- clover - high N,Van Kessel et al. 2006,10,01.05.2002,9,3209,3456,3,3,pers. comm.,
SwissFACE- clover - high N,Van Kessel et al. 2006,10,01.05.2003,10,2993,3236,3,3,pers. comm.,
Swiss Greenhouse,K”rner and Arnone 1992,20,,0,1280,1280,2,2,table 4,
Swiss Greenhouse,K”rner and Arnone 1992,20,,0.25,1205,980,2,2,table 4,
Tallgrass Prairie,Rice et al. 1994,5,01.11.1992,2.5,2985,2860,3,3,table 1,bulk density = 0.93 g/cm3 (Williams et al. 2000)
Tallgrass Prairie,Williams et al. 2000,5,01.10.1996,8,2181,2372,3,3,table 1,bulk density = 0.93 g/cm3 (Williams et al. 2000)
UMBS - aspen,Zak et al. 1993,15,01.05.1991,0,297,297,4,4,table 2,assumed bulk density: 1.0 g/cm3
UMBS - aspen,Zak et al. 1993,15,01.10.1991,0.5,242,290,4,4,table 2,assumed bulk density: 1.0 g/cm3
"WSL - loam, low N",Hagedorn et al. 2001,10,01.01.1995,0,1290,1290,4,4,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - loam, low N",Hagedorn et al. 2001,10,01.09.1998,3.75,1317,1471,4,4,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - loam, high N",Hagedorn et al. 2001,10,01.01.1995,0,1290,1290,4,4,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - loam, high N",Hagedorn et al. 2001,10,01.09.1998,3.75,1482,1547,4,4,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
